,username,password,apple,apricot,banana,bean,beef,bread,broccoli,butter,cabbage,carrot,cauliflower,celery,chicken,chilli,chocolate,cookie,corn,cucumber,egg,eggplant,fig,fish,garlic,grape,ham,icecream,kiwi,lamb,lemon,lettuce,lime,mango,milk,mushroom,onion,orange,pea,pear,pineapple,pork,potato,pumpkin,radish,rib,rice,salmon,sausage,spinach,spring onion,strawberry,sweet potato,tofu,tomato,watermelon,zucchini
0,TEST001,TEST001,7,5,4,1,1,4,2,1,3,2,6,6,8,9,6,2,9,6,2,2,10,7,2,0,1,8,3,1,8,1,6,10,9,0,2,7,1,7,7,3,8,1,2,2,7,0,2,7,4,6,0,0,4,3,5
1,TEST002,TEST002,0,0,10,5,3,2,5,3,5,9,2,0,7,7,0,3,8,5,4,7,0,5,6,8,8,6,4,2,0,8,2,3,8,7,5,3,8,2,8,10,3,4,1,8,8,5,6,10,1,6,9,10,7,2,0
2,TEST003,TEST003,7,5,9,2,3,6,4,6,10,6,10,4,0,5,0,10,6,10,2,1,4,10,5,5,4,4,4,3,3,2,6,4,8,8,7,8,0,4,4,8,1,4,7,8,5,9,3,10,5,5,4,0,5,5,0
3,TEST004,TEST004,9,10,5,1,3,6,1,10,3,3,7,6,3,3,4,4,0,4,7,2,2,10,8,5,7,7,0,1,3,7,1,0,2,2,1,0,9,8,9,8,4,3,10,2,10,7,2,0,8,1,10,7,9,7,7
4,TEST005,TEST005,3,8,10,0,1,10,6,4,9,1,4,0,9,6,9,4,5,9,6,4,2,2,9,8,3,0,3,5,2,6,7,0,8,6,7,9,6,10,10,2,6,0,5,10,8,1,3,2,3,0,9,1,10,7,8
5,TEST006,TEST006,10,6,3,8,5,8,6,7,4,2,0,2,10,1,5,5,2,1,7,2,0,2,3,8,3,3,4,6,3,2,10,10,3,6,2,1,1,8,8,1,1,3,4,8,3,2,0,6,2,7,0,2,7,10,10
6,TEST007,TEST007,6,8,3,1,5,4,0,4,1,7,9,4,10,8,4,3,9,5,6,9,0,4,8,4,3,5,7,1,0,4,7,5,5,7,10,6,4,3,2,0,9,1,1,0,5,3,10,8,3,6,8,1,1,2,6
7,TEST008,TEST008,9,8,2,1,2,0,3,9,0,6,4,4,10,4,6,5,7,5,3,9,10,2,3,3,4,7,9,8,4,7,9,4,0,6,6,7,0,10,5,4,0,0,10,0,9,4,9,2,4,9,5,10,9,7,9
8,TEST009,TEST009,2,1,10,7,3,0,8,3,3,7,2,6,4,5,5,5,10,10,6,3,0,1,4,5,3,3,2,8,9,9,1,1,9,5,4,1,10,7,8,10,8,6,2,9,3,0,2,7,1,7,8,3,8,3,3
9,TEST010,TEST010,0,3,0,1,7,8,3,7,4,0,7,7,10,4,3,6,6,9,1,6,3,10,8,1,2,0,8,8,4,10,8,9,8,4,0,2,5,10,1,2,10,8,9,5,8,3,7,2,0,8,5,4,9,4,5
10,TEST011,TEST011,0,3,5,4,8,5,4,4,6,10,8,9,1,4,4,6,4,1,8,4,1,9,5,10,5,5,1,8,5,1,1,5,7,9,8,8,9,5,7,1,4,0,6,4,5,5,3,8,3,8,9,9,0,5,10
11,TEST012,TEST012,4,7,4,5,8,10,9,3,3,6,9,1,4,1,3,10,2,3,1,3,7,0,2,10,5,6,0,6,5,1,4,0,1,10,3,4,8,9,3,9,1,2,4,7,9,6,4,6,8,3,3,3,9,2,5
12,TEST013,TEST013,10,3,0,4,10,1,5,0,4,9,1,1,4,6,2,8,5,10,3,2,6,0,8,2,9,5,9,5,7,8,5,8,8,0,5,8,9,1,0,10,5,7,9,9,7,6,7,1,6,2,5,5,3,5,10
13,TEST014,TEST014,8,5,10,6,6,1,10,5,7,2,3,8,2,3,1,5,10,2,10,1,2,3,0,6,0,1,5,9,10,6,7,5,8,10,5,4,0,2,7,1,8,3,5,4,3,3,4,4,10,9,1,0,7,7,3
14,TEST015,TEST015,5,6,0,2,2,5,10,3,10,2,0,1,1,6,6,6,5,6,2,2,7,4,10,7,7,2,1,2,0,5,5,7,7,3,9,1,3,5,2,9,0,7,2,0,1,8,2,6,5,8,8,3,10,2,2
15,TEST016,TEST016,2,2,10,9,4,7,2,6,1,8,0,10,1,3,9,8,9,8,5,4,10,8,9,4,6,5,6,10,10,3,2,7,4,0,10,2,7,3,7,0,0,8,8,9,1,8,1,10,5,6,6,8,7,8,4
16,TEST017,TEST017,3,3,10,2,1,6,1,8,1,8,7,4,3,6,8,9,7,10,2,8,0,2,4,5,3,4,9,8,5,4,1,7,5,0,3,3,1,9,5,5,7,8,10,6,9,6,7,1,4,2,10,3,7,4,8
17,TEST018,TEST018,5,8,6,9,2,7,0,4,5,9,6,4,5,10,8,9,0,9,7,1,4,4,4,5,3,9,1,5,4,8,5,2,8,9,5,5,6,9,2,9,8,8,1,8,6,3,2,3,4,5,9,9,5,7,8
18,TEST019,TEST019,10,10,2,6,4,5,8,1,7,7,3,7,9,3,1,7,7,6,7,4,5,7,5,3,10,5,2,8,4,8,2,1,4,4,4,1,0,2,6,7,8,0,10,4,10,1,0,10,1,3,9,2,1,5,6
19,TEST020,TEST020,6,3,0,2,8,4,3,1,10,0,2,5,2,5,4,4,6,0,4,7,8,10,6,2,7,5,8,8,10,9,3,6,8,2,4,6,0,3,1,2,1,9,5,4,5,1,4,7,2,0,7,1,4,8,9
20,TEST021,TEST021,3,8,1,3,4,4,3,6,7,2,10,2,3,4,2,8,8,10,6,6,6,10,7,1,4,7,4,8,3,5,0,7,8,10,4,4,4,9,1,9,4,3,3,3,3,4,5,5,2,9,5,1,0,10,7
21,TEST022,TEST022,10,0,1,0,8,7,10,10,4,8,1,7,8,10,7,5,5,1,0,6,5,6,10,3,7,4,7,1,6,0,4,3,6,5,6,5,5,8,2,4,7,3,1,0,6,6,1,5,3,2,7,5,5,8,0
22,TEST023,TEST023,1,1,6,2,7,7,7,5,0,4,6,0,10,4,7,2,8,7,3,9,0,3,1,7,4,4,5,1,4,10,2,8,7,7,0,10,2,4,10,10,10,8,3,3,3,1,3,8,3,3,5,5,0,6,10
23,TEST024,TEST024,10,7,9,6,3,4,3,8,7,4,3,2,8,5,3,10,7,3,6,5,5,10,5,8,10,7,9,1,3,5,2,2,4,10,4,10,7,7,10,10,4,5,3,1,1,4,2,4,4,5,0,9,9,3,5
24,TEST025,TEST025,7,1,7,10,10,10,7,1,10,4,7,2,9,0,8,2,1,7,3,7,3,9,4,7,3,1,3,10,8,5,6,3,8,7,2,8,5,2,9,7,6,0,2,9,7,3,1,1,7,0,1,6,6,6,1
25,TEST026,TEST026,7,6,8,4,7,6,6,6,5,4,7,8,7,8,7,4,6,7,6,3,8,4,9,8,8,8,5,3,8,4,0,4,9,8,5,8,0,5,6,4,7,9,6,0,7,6,1,9,9,3,3,5,0,1,3
26,TEST027,TEST027,7,10,0,6,6,8,7,9,9,8,10,7,8,9,4,7,4,1,4,2,6,1,7,9,1,1,10,9,6,8,1,8,7,1,7,10,5,9,10,6,7,4,2,3,10,10,8,10,5,4,1,4,5,4,0
27,TEST028,TEST028,7,8,10,5,9,5,1,3,5,2,2,7,1,3,6,8,7,3,9,10,8,2,9,2,2,9,6,10,8,5,3,1,7,6,5,3,0,5,6,3,7,5,5,7,1,4,7,4,5,5,5,9,10,4,3
28,TEST029,TEST029,6,3,7,1,2,2,1,2,0,7,5,1,8,5,8,8,6,8,0,7,3,5,6,4,8,0,4,5,3,5,8,8,4,8,7,2,9,7,8,2,1,3,9,7,4,0,10,5,1,3,0,9,4,9,10
29,TEST030,TEST030,6,9,1,5,3,8,5,3,6,1,0,10,0,4,4,9,5,5,10,0,2,7,5,1,4,10,4,2,2,2,6,4,9,7,3,10,5,7,6,10,8,10,8,8,4,0,6,1,0,5,4,6,8,0,9
30,TEST031,TEST031,6,10,9,7,6,3,9,6,9,10,0,1,3,9,0,0,7,3,10,9,6,1,6,2,2,3,5,8,4,10,2,5,10,10,9,9,9,2,3,1,5,2,10,0,2,0,10,0,8,6,3,0,8,5,7
31,TEST032,TEST032,0,5,10,3,3,4,1,7,9,0,8,3,1,7,2,9,2,2,9,7,8,1,3,0,3,5,8,8,4,2,9,9,0,9,0,3,2,9,7,5,1,6,4,10,3,8,10,1,6,8,3,10,3,7,3
32,TEST033,TEST033,1,10,0,3,2,6,5,6,6,10,0,7,9,1,8,4,0,7,6,8,3,3,2,4,7,1,3,8,4,2,4,6,4,2,8,4,2,3,3,7,7,3,4,10,5,0,6,2,3,8,6,6,3,2,9
33,TEST034,TEST034,10,4,3,10,4,9,1,8,1,9,10,1,0,8,3,10,7,9,8,3,2,0,0,8,6,9,9,7,1,6,0,7,3,8,0,1,2,0,2,1,1,6,4,1,9,8,10,4,3,9,3,10,0,9,2
34,TEST035,TEST035,5,10,2,9,0,7,8,8,2,10,0,2,10,6,8,9,7,2,6,5,7,8,6,8,5,8,1,0,1,0,7,5,8,6,8,5,7,7,3,8,6,2,0,10,1,3,7,6,0,10,7,9,7,8,5
35,TEST036,TEST036,2,3,10,1,8,1,5,9,7,3,6,3,1,4,4,2,4,7,2,7,1,4,7,2,9,5,8,1,4,6,3,6,4,3,0,0,7,0,4,0,3,9,5,4,10,6,6,3,3,8,9,2,10,10,7
36,TEST037,TEST037,4,2,2,0,7,5,2,5,6,0,7,4,2,8,4,5,9,10,0,9,8,6,3,3,0,10,8,0,6,8,3,4,0,10,8,9,4,7,5,0,1,4,6,2,3,9,3,1,10,10,9,9,10,1,10
37,TEST038,TEST038,8,8,10,5,4,1,5,1,1,0,3,1,0,9,10,0,1,1,7,6,3,0,10,8,4,2,2,10,10,5,8,3,9,6,7,5,2,5,6,5,3,8,9,9,9,1,6,8,6,10,0,5,0,8,8
38,TEST039,TEST039,1,8,0,5,6,9,5,0,10,5,4,4,6,3,9,8,7,9,6,4,8,6,0,3,4,9,1,6,4,10,1,4,3,8,0,3,5,3,9,1,9,10,5,2,8,4,5,6,2,4,8,4,6,6,8
39,TEST040,TEST040,8,5,8,4,9,0,3,4,6,4,2,6,6,9,4,6,3,2,0,5,5,7,4,3,6,10,0,8,9,8,10,7,8,5,4,6,6,7,3,2,8,6,0,9,9,0,5,5,0,5,8,2,6,0,10
40,TEST041,TEST041,8,3,5,6,1,3,7,1,10,0,7,10,5,10,10,9,3,1,0,9,1,1,0,2,10,0,7,2,1,10,8,7,4,9,2,10,2,4,2,7,1,4,9,5,1,6,5,6,3,6,4,2,8,9,6
41,TEST042,TEST042,2,0,0,5,4,1,9,8,3,0,2,10,9,0,7,4,1,0,10,10,5,0,9,3,6,3,3,5,7,4,6,0,1,0,4,5,1,9,8,2,10,1,5,10,5,8,10,10,5,4,10,6,1,3,10
42,TEST043,TEST043,3,5,5,10,6,10,1,1,2,9,4,3,8,4,7,2,4,0,8,5,6,6,9,0,5,5,1,7,8,9,7,10,5,9,6,2,2,7,8,0,3,0,3,4,5,6,9,6,0,4,5,10,1,5,0
43,TEST044,TEST044,4,5,4,6,2,8,9,8,9,10,0,8,8,5,1,0,1,2,6,1,7,8,4,3,7,10,4,5,7,6,1,6,0,5,7,7,3,9,7,5,8,3,8,5,7,10,6,0,8,10,8,5,0,10,6
44,TEST045,TEST045,3,0,0,5,8,3,5,6,10,9,0,9,8,5,8,4,2,8,2,2,7,5,1,5,10,10,8,7,6,1,6,10,3,7,7,6,2,0,6,8,1,7,4,6,5,7,9,3,7,0,10,5,1,2,3
45,TEST046,TEST046,1,0,2,2,8,9,10,7,0,8,4,1,5,2,0,6,4,10,7,2,0,7,8,2,8,4,9,0,10,8,8,2,10,9,2,5,10,9,2,9,6,4,4,6,7,7,4,6,10,7,8,5,7,7,8
46,TEST047,TEST047,6,10,2,6,4,5,10,7,8,5,10,5,0,5,6,2,3,8,10,10,1,8,0,7,9,10,4,9,0,5,4,0,8,8,6,3,2,8,4,10,2,4,4,10,10,8,5,5,3,3,9,7,0,0,2
47,TEST048,TEST048,1,10,6,7,5,0,8,2,4,3,6,1,5,8,0,8,0,10,2,8,9,0,9,2,1,6,9,4,2,5,4,2,6,1,5,2,0,7,9,2,9,9,1,10,5,9,5,3,7,6,5,1,6,8,5
48,TEST049,TEST049,7,7,6,4,5,10,9,6,10,7,3,7,7,3,0,4,5,8,1,6,10,7,2,7,0,3,6,0,1,10,4,10,10,9,2,7,7,3,0,3,6,4,9,9,5,7,1,5,9,8,6,3,8,9,6
49,TEST050,TEST050,1,0,3,0,5,1,8,2,4,2,6,3,8,8,5,6,10,9,1,3,9,5,4,1,8,0,9,7,9,10,2,10,9,5,0,8,4,4,5,5,1,6,8,3,3,10,8,10,10,10,6,6,7,4,4
50,TEST051,TEST051,5,8,9,9,7,0,3,9,10,2,1,3,6,3,3,9,7,8,3,7,4,5,10,8,8,10,10,0,0,3,4,2,2,9,4,9,3,4,1,6,8,0,8,6,7,9,9,5,9,9,1,6,3,8,3
51,TEST052,TEST052,6,4,1,1,6,3,10,10,3,1,3,0,0,6,2,8,0,3,5,10,3,9,10,3,0,10,10,10,3,2,4,2,1,5,5,5,10,10,1,1,2,3,10,9,4,2,8,0,5,3,10,4,2,3,6
52,TEST053,TEST053,3,7,7,4,9,8,3,1,10,1,8,8,2,1,10,8,9,4,2,3,10,10,0,10,6,8,0,1,0,5,8,8,10,10,7,2,3,0,10,9,5,4,4,7,1,0,7,8,1,0,10,9,4,1,0
53,TEST054,TEST054,3,0,2,4,4,0,4,0,3,1,3,6,8,5,4,3,6,6,2,3,1,5,5,2,5,4,5,8,5,10,6,6,6,7,10,0,3,7,7,6,9,1,2,7,6,9,8,9,9,9,9,6,0,3,8
54,TEST055,TEST055,1,8,3,6,10,6,3,1,8,5,0,1,7,9,10,8,0,10,4,4,4,6,3,9,10,8,5,10,1,3,9,3,5,9,7,7,8,2,7,8,4,7,3,5,0,7,5,7,1,10,5,7,10,3,4
55,TEST056,TEST056,4,5,9,3,6,0,7,2,4,10,8,2,2,1,4,7,7,8,6,7,2,4,10,5,1,0,6,6,9,9,4,6,6,0,2,0,9,8,0,0,5,1,9,10,4,4,6,8,4,8,9,9,1,10,3
56,TEST057,TEST057,5,2,10,3,0,10,5,7,5,10,1,7,5,0,7,2,0,4,0,6,7,2,3,0,10,6,6,4,6,6,0,1,0,7,9,8,3,1,0,6,4,2,1,0,0,3,5,2,10,2,6,4,9,7,6
57,TEST058,TEST058,8,8,8,7,4,9,8,2,5,1,2,6,3,6,6,4,6,7,9,0,8,6,5,1,2,5,3,8,9,10,8,4,1,6,0,10,10,3,1,2,8,3,2,5,10,8,3,5,9,6,2,9,2,0,8
58,TEST059,TEST059,9,8,4,3,10,4,4,10,8,8,6,10,5,10,4,6,3,2,1,0,1,3,5,5,10,7,5,8,1,7,0,9,1,7,8,5,4,4,0,1,2,10,4,2,8,8,10,9,6,7,2,0,1,8,7
59,TEST060,TEST060,10,7,8,10,6,2,6,5,5,7,1,7,4,9,2,6,1,6,0,2,5,4,1,7,0,3,4,0,4,7,4,9,4,2,5,10,9,10,4,9,7,2,10,4,3,3,3,6,5,3,10,5,1,4,6
60,TEST061,TEST061,6,7,1,5,2,3,4,7,5,0,9,9,3,10,1,7,1,10,8,3,0,10,5,1,7,4,5,2,9,6,9,10,0,10,0,2,6,2,4,4,1,3,8,2,4,0,5,10,4,9,10,7,0,1,3
61,TEST062,TEST062,8,4,10,1,4,5,1,7,8,10,2,10,3,5,10,7,6,1,5,1,8,7,3,5,0,0,3,1,6,5,5,6,6,8,6,4,4,3,5,4,5,1,2,2,1,9,10,2,8,7,2,5,2,9,2
62,TEST063,TEST063,9,0,8,1,10,8,5,3,7,8,9,6,3,8,7,0,6,9,7,9,9,6,1,2,6,6,5,6,8,0,0,5,6,8,6,3,8,3,10,5,10,5,1,7,9,3,5,4,8,10,0,6,9,7,4
63,TEST064,TEST064,6,2,6,7,9,5,1,10,9,6,0,8,1,0,4,7,10,7,1,0,2,2,2,9,5,2,5,3,0,2,1,8,4,1,10,6,1,10,0,4,5,5,1,0,0,6,0,0,10,8,4,6,4,3,0
